Events for energy 897.164117 GeV:
Cross section pb: 2.80972877669809
Total number of events: 999816

pid = 22, p = (0.000307235144025024, -0.00464244345040378, 0.051314146075123565, 0.05152463742757694), Parent_PIDs = (111, 90), theta = 0.09042168923113808, phi = 4.7784722370603605
pid = 13, p = (0.06806794591264376, -0.7556673652769473, 43.46401316699718, 43.47076340517507), Parent_PIDs = (331, 90), theta = 0.01745466483477649, phi = 4.8022231371592845
pid = -13, p = (-0.3103436147865933, -0.07775699111252934, 12.899544547259488, 12.903944081994373), Parent_PIDs = (331, 90), theta = 0.024797064290500406, phi = 3.387090104743426
pid = 22, p = (0.15308095467937993, -0.008718833088668401, 6.021432375073959, 6.0233842351559135), Parent_PIDs = (331, 90), theta = 0.025458381097954955, phi = 6.226291073735935
pid = 211, p = (-0.12781397461308516, -0.1457382361937229, 5.347557565143173, 5.352889662884454), Parent_PIDs = (223, 90), theta = 0.036233472205222564, phi = 3.99242138088205
pid = -211, p = (-0.20549881977545345, -0.03453692618453978, 14.983906917486602, 14.98600576741522), Parent_PIDs = (223, 90), theta = 0.013906078311199728, phi = 3.3081004597681622
pid = 22, p = (-0.10738936511162839, -0.1479085875980788, 5.267187975649169, 5.270358488456695), Parent_PIDs = (111, 90), theta = 0.034688174836560684, phi = 4.084391405460742
pid = 22, p = (-0.06298611922843964, -0.36477366061755984, 8.286281030434946, 8.294545219000367), Parent_PIDs = (111, 90), theta = 0.0446431553439701, phi = 4.541403235301068
pid = 22, p = (-0.036705848460311996, 0.04853811070887973, 4.007391563211492, 4.007853591188308), Parent_PIDs = (111, 90), theta = 0.015184391158785799, phi = 2.2182710622942245
pid = 22, p = (-0.4208206865416866, 0.22668609272230555, 16.343574992930105, 16.350563298687458), Parent_PIDs = (111, 90), theta = 0.02923816124391636, phi = 2.647484879524262

pid = -11, p = (0.7422925073016559, 1.4073544889375422, 169.80768037995134, 169.81513466444844), Parent_PIDs = (-11, -11), theta = 0.009369822183462004, phi = 1.0854398730377273
pid = 211, p = (0.06798463850998801, -0.11755512977671205, 1.2063666621209954, 1.2219825808852955), Parent_PIDs = (1, 2101), theta = 0.11209594960530744, phi = 5.236715742227247
pid = 2112, p = (-0.27343441395465495, 0.6610718818282606, 6.113182615904554, 6.226200759048517), Parent_PIDs = (1, 2101), theta = 0.11649424570154099, phi = 1.9629910704238915
pid = -211, p = (0.433571660085284, -0.4356462053427082, 67.77262292448454, 67.7755536299773), Parent_PIDs = (-213, 90), theta = 0.009068776170120509, phi = 5.495400467896941
pid = 22, p = (0.07968790083887776, -0.2507061955551905, 0.07359959778607514, 0.2731678217216261), Parent_PIDs = (111, 90), theta = 1.2979952644193156, phi = 5.020143812187962
pid = 22, p = (0.000307235144025024, -0.00464244345040378, 0.051314146075123565, 0.05152463742757694), Parent_PIDs = (111, 90), theta = 0.09042168923113808, phi = 4.7784722370603605
pid = 13, p = (0.06806794591264376, -0.7556673652769473, 43.46401316699718, 43.47076340517507), Parent_PIDs = (331, 90), theta = 0.01745466483477649, phi = 4.8022231371592845
pid = -13, p = (-0.3103436147865933, -0.07775699111252934, 12.899544547259488, 12.903944081994373), Parent_PIDs = (331, 90), theta = 0.024797064290500406, phi = 3.387090104743426
pid = 22, p = (0.15308095467937993, -0.008718833088668401, 6.021432375073959, 6.0233842351559135), Parent_PIDs = (331, 90), theta = 0.025458381097954955, phi = 6.226291073735935
pid = 211, p = (-0.12781397461308516, -0.1457382361937229, 5.347557565143173, 5.352889662884454), Parent_PIDs = (223, 90), theta = 0.036233472205222564, phi = 3.99242138088205
pid = -211, p = (-0.20549881977545345, -0.03453692618453978, 14.983906917486602, 14.98600576741522), Parent_PIDs = (223, 90), theta = 0.013906078311199728, phi = 3.3081004597681622
pid = 22, p = (-0.10738936511162839, -0.1479085875980788, 5.267187975649169, 5.270358488456695), Parent_PIDs = (111, 90), theta = 0.034688174836560684, phi = 4.084391405460742
pid = 22, p = (-0.06298611922843964, -0.36477366061755984, 8.286281030434946, 8.294545219000367), Parent_PIDs = (111, 90), theta = 0.0446431553439701, phi = 4.541403235301068
pid = 22, p = (-0.036705848460311996, 0.04853811070887973, 4.007391563211492, 4.007853591188308), Parent_PIDs = (111, 90), theta = 0.015184391158785799, phi = 2.2182710622942245
pid = 22, p = (-0.4208206865416866, 0.22668609272230555, 16.343574992930105, 16.350563298687458), Parent_PIDs = (111, 90), theta = 0.02923816124391636, phi = 2.647484879524262

pid = -11, p = (0.7422925073016559, 1.4073544889375422, 169.80768037995134, 169.81513466444844), Parent_PIDs = (-11, -11), theta = 0.009369822183462004, phi = 1.0854398730377273
pid = 211, p = (0.06798463850998801, -0.11755512977671205, 1.2063666621209954, 1.2219825808852955), Parent_PIDs = (1, 2101), theta = 0.11209594960530744, phi = 5.236715742227247
pid = 2112, p = (-0.27343441395465495, 0.6610718818282606, 6.113182615904554, 6.226200759048517), Parent_PIDs = (1, 2101), theta = 0.11649424570154099, phi = 1.9629910704238915
pid = -211, p = (0.433571660085284, -0.4356462053427082, 67.77262292448454, 67.7755536299773), Parent_PIDs = (-213, 90), theta = 0.009068776170120509, phi = 5.495400467896941
pid = 22, p = (0.07968790083887776, -0.2507061955551905, 0.07359959778607514, 0.2731678217216261), Parent_PIDs = (111, 90), theta = 1.2979952644193156, phi = 5.020143812187962
pid = 22, p = (0.000307235144025024, -0.00464244345040378, 0.051314146075123565, 0.05152463742757694), Parent_PIDs = (111, 90), theta = 0.09042168923113808, phi = 4.7784722370603605
pid = 13, p = (0.06806794591264376, -0.7556673652769473, 43.46401316699718, 43.47076340517507), Parent_PIDs = (331, 90), theta = 0.01745466483477649, phi = 4.8022231371592845
pid = -13, p = (-0.3103436147865933, -0.07775699111252934, 12.899544547259488, 12.903944081994373), Parent_PIDs = (331, 90), theta = 0.024797064290500406, phi = 3.387090104743426
pid = 22, p = (0.15308095467937993, -0.008718833088668401, 6.021432375073959, 6.0233842351559135), Parent_PIDs = (331, 90), theta = 0.025458381097954955, phi = 6.226291073735935
pid = 211, p = (-0.12781397461308516, -0.1457382361937229, 5.347557565143173, 5.352889662884454), Parent_PIDs = (223, 90), theta = 0.036233472205222564, phi = 3.99242138088205
pid = -211, p = (-0.20549881977545345, -0.03453692618453978, 14.983906917486602, 14.98600576741522), Parent_PIDs = (223, 90), theta = 0.013906078311199728, phi = 3.3081004597681622
pid = 22, p = (-0.10738936511162839, -0.1479085875980788, 5.267187975649169, 5.270358488456695), Parent_PIDs = (111, 90), theta = 0.034688174836560684, phi = 4.084391405460742
pid = 22, p = (-0.06298611922843964, -0.36477366061755984, 8.286281030434946, 8.294545219000367), Parent_PIDs = (111, 90), theta = 0.0446431553439701, phi = 4.541403235301068
pid = 22, p = (-0.036705848460311996, 0.04853811070887973, 4.007391563211492, 4.007853591188308), Parent_PIDs = (111, 90), theta = 0.015184391158785799, phi = 2.2182710622942245
pid = 22, p = (-0.4208206865416866, 0.22668609272230555, 16.343574992930105, 16.350563298687458), Parent_PIDs = (111, 90), theta = 0.02923816124391636, phi = 2.647484879524262

pid = -11, p = (0.7422925073016559, 1.4073544889375422, 169.80768037995134, 169.81513466444844), Parent_PIDs = (-11, -11), theta = 0.009369822183462004, phi = 1.0854398730377273
pid = 211, p = (0.06798463850998801, -0.11755512977671205, 1.2063666621209954, 1.2219825808852955), Parent_PIDs = (1, 2101), theta = 0.11209594960530744, phi = 5.236715742227247
pid = 2112, p = (-0.27343441395465495, 0.6610718818282606, 6.113182615904554, 6.226200759048517), Parent_PIDs = (1, 2101), theta = 0.11649424570154099, phi = 1.9629910704238915
pid = -211, p = (0.433571660085284, -0.4356462053427082, 67.77262292448454, 67.7755536299773), Parent_PIDs = (-213, 90), theta = 0.009068776170120509, phi = 5.495400467896941
pid = 22, p = (0.07968790083887776, -0.2507061955551905, 0.07359959778607514, 0.2731678217216261), Parent_PIDs = (111, 90), theta = 1.2979952644193156, phi = 5.020143812187962
pid = 22, p = (0.000307235144025024, -0.00464244345040378, 0.051314146075123565, 0.05152463742757694), Parent_PIDs = (111, 90), theta = 0.09042168923113808, phi = 4.7784722370603605
pid = 13, p = (0.06806794591264376, -0.7556673652769473, 43.46401316699718, 43.47076340517507), Parent_PIDs = (331, 90), theta = 0.01745466483477649, phi = 4.8022231371592845
pid = -13, p = (-0.3103436147865933, -0.07775699111252934, 12.899544547259488, 12.903944081994373), Parent_PIDs = (331, 90), theta = 0.024797064290500406, phi = 3.387090104743426
pid = 22, p = (0.15308095467937993, -0.008718833088668401, 6.021432375073959, 6.0233842351559135), Parent_PIDs = (331, 90), theta = 0.025458381097954955, phi = 6.226291073735935
pid = 211, p = (-0.12781397461308516, -0.1457382361937229, 5.347557565143173, 5.352889662884454), Parent_PIDs = (223, 90), theta = 0.036233472205222564, phi = 3.99242138088205
pid = -211, p = (-0.20549881977545345, -0.03453692618453978, 14.983906917486602, 14.98600576741522), Parent_PIDs = (223, 90), theta = 0.013906078311199728, phi = 3.3081004597681622
pid = 22, p = (-0.10738936511162839, -0.1479085875980788, 5.267187975649169, 5.270358488456695), Parent_PIDs = (111, 90), theta = 0.034688174836560684, phi = 4.084391405460742
pid = 22, p = (-0.06298611922843964, -0.36477366061755984, 8.286281030434946, 8.294545219000367), Parent_PIDs = (111, 90), theta = 0.0446431553439701, phi = 4.541403235301068
pid = 22, p = (-0.036705848460311996, 0.04853811070887973, 4.007391563211492, 4.007853591188308), Parent_PIDs = (111, 90), theta = 0.015184391158785799, phi = 2.2182710622942245
pid = 22, p = (-0.4208206865416866, 0.22668609272230555, 16.343574992930105, 16.350563298687458), Parent_PIDs = (111, 90), theta = 0.02923816124391636, phi = 2.647484879524262

pid = -11, p = (0.7422925073016559, 1.4073544889375422, 169.80768037995134, 169.81513466444844), Parent_PIDs = (-11, -11), theta = 0.009369822183462004, phi = 1.0854398730377273
pid = 211, p = (0.06798463850998801, -0.11755512977671205, 1.2063666621209954, 1.2219825808852955), Parent_PIDs = (1, 2101), theta = 0.11209594960530744, phi = 5.236715742227247
pid = 2112, p = (-0.27343441395465495, 0.6610718818282606, 6.113182615904554, 6.226200759048517), Parent_PIDs = (1, 2101), theta = 0.11649424570154099, phi = 1.9629910704238915
pid = -211, p = (0.433571660085284, -0.4356462053427082, 67.77262292448454, 67.7755536299773), Parent_PIDs = (-213, 90), theta = 0.009068776170120509, phi = 5.495400467896941
pid = 22, p = (0.07968790083887776, -0.2507061955551905, 0.07359959778607514, 0.2731678217216261), Parent_PIDs = (111, 90), theta = 1.2979952644193156, phi = 5.020143812187962
pid = 22, p = (0.000307235144025024, -0.00464244345040378, 0.051314146075123565, 0.05152463742757694), Parent_PIDs = (111, 90), theta = 0.09042168923113808, phi = 4.7784722370603605
pid = 13, p = (0.06806794591264376, -0.7556673652769473, 43.46401316699718, 43.47076340517507), Parent_PIDs = (331, 90), theta = 0.01745466483477649, phi = 4.8022231371592845
pid = -13, p = (-0.3103436147865933, -0.07775699111252934, 12.899544547259488, 12.903944081994373), Parent_PIDs = (331, 90), theta = 0.024797064290500406, phi = 3.387090104743426
pid = 22, p = (0.15308095467937993, -0.008718833088668401, 6.021432375073959, 6.0233842351559135), Parent_PIDs = (331, 90), theta = 0.025458381097954955, phi = 6.226291073735935
pid = 211, p = (-0.12781397461308516, -0.1457382361937229, 5.347557565143173, 5.352889662884454), Parent_PIDs = (223, 90), theta = 0.036233472205222564, phi = 3.99242138088205
pid = -211, p = (-0.20549881977545345, -0.03453692618453978, 14.983906917486602, 14.98600576741522), Parent_PIDs = (223, 90), theta = 0.013906078311199728, phi = 3.3081004597681622
pid = 22, p = (-0.10738936511162839, -0.1479085875980788, 5.267187975649169, 5.270358488456695), Parent_PIDs = (111, 90), theta = 0.034688174836560684, phi = 4.084391405460742
pid = 22, p = (-0.06298611922843964, -0.36477366061755984, 8.286281030434946, 8.294545219000367), Parent_PIDs = (111, 90), theta = 0.0446431553439701, phi = 4.541403235301068
pid = 22, p = (-0.036705848460311996, 0.04853811070887973, 4.007391563211492, 4.007853591188308), Parent_PIDs = (111, 90), theta = 0.015184391158785799, phi = 2.2182710622942245
pid = 22, p = (-0.4208206865416866, 0.22668609272230555, 16.343574992930105, 16.350563298687458), Parent_PIDs = (111, 90), theta = 0.02923816124391636, phi = 2.647484879524262

pid = -11, p = (0.7422925073016559, 1.4073544889375422, 169.80768037995134, 169.81513466444844), Parent_PIDs = (-11, -11), theta = 0.009369822183462004, phi = 1.0854398730377273
pid = 211, p = (0.06798463850998801, -0.11755512977671205, 1.2063666621209954, 1.2219825808852955), Parent_PIDs = (1, 2101), theta = 0.11209594960530744, phi = 5.236715742227247
pid = 2112, p = (-0.27343441395465495, 0.6610718818282606, 6.113182615904554, 6.226200759048517), Parent_PIDs = (1, 2101), theta = 0.11649424570154099, phi = 1.9629910704238915
pid = -211, p = (0.433571660085284, -0.4356462053427082, 67.77262292448454, 67.7755536299773), Parent_PIDs = (-213, 90), theta = 0.009068776170120509, phi = 5.495400467896941
pid = 22, p = (0.07968790083887776, -0.2507061955551905, 0.07359959778607514, 0.2731678217216261), Parent_PIDs = (111, 90), theta = 1.2979952644193156, phi = 5.020143812187962
pid = 22, p = (0.000307235144025024, -0.00464244345040378, 0.051314146075123565, 0.05152463742757694), Parent_PIDs = (111, 90), theta = 0.09042168923113808, phi = 4.7784722370603605
pid = 13, p = (0.06806794591264376, -0.7556673652769473, 43.46401316699718, 43.47076340517507), Parent_PIDs = (331, 90), theta = 0.01745466483477649, phi = 4.8022231371592845
pid = -13, p = (-0.3103436147865933, -0.07775699111252934, 12.899544547259488, 12.903944081994373), Parent_PIDs = (331, 90), theta = 0.024797064290500406, phi = 3.387090104743426
pid = 22, p = (0.15308095467937993, -0.008718833088668401, 6.021432375073959, 6.0233842351559135), Parent_PIDs = (331, 90), theta = 0.025458381097954955, phi = 6.226291073735935
pid = 211, p = (-0.12781397461308516, -0.1457382361937229, 5.347557565143173, 5.352889662884454), Parent_PIDs = (223, 90), theta = 0.036233472205222564, phi = 3.99242138088205
pid = -211, p = (-0.20549881977545345, -0.03453692618453978, 14.983906917486602, 14.98600576741522), Parent_PIDs = (223, 90), theta = 0.013906078311199728, phi = 3.3081004597681622
pid = 22, p = (-0.10738936511162839, -0.1479085875980788, 5.267187975649169, 5.270358488456695), Parent_PIDs = (111, 90), theta = 0.034688174836560684, phi = 4.084391405460742
pid = 22, p = (-0.06298611922843964, -0.36477366061755984, 8.286281030434946, 8.294545219000367), Parent_PIDs = (111, 90), theta = 0.0446431553439701, phi = 4.541403235301068
pid = 22, p = (-0.036705848460311996, 0.04853811070887973, 4.007391563211492, 4.007853591188308), Parent_PIDs = (111, 90), theta = 0.015184391158785799, phi = 2.2182710622942245
pid = 22, p = (-0.4208206865416866, 0.22668609272230555, 16.343574992930105, 16.350563298687458), Parent_PIDs = (111, 90), theta = 0.02923816124391636, phi = 2.647484879524262

pid = -11, p = (6.332470587940477, -0.39120413787355596, 552.6590537368672, 552.6954703107447), Parent_PIDs = (-11, 90), theta = 0.011479526385082624, phi = 6.221486228196984
pid = 22, p = (0.000774057887189218, 4.261648531435962e-05, 0.04821652036848792, 0.04822275208055168), Parent_PIDs = (22, 22), theta = 0.016076717045015305, phi = 0.055000414155581566
pid = -211, p = (-1.5696465637843464, -0.049985926447284196, 65.2268169703265, 65.24586899408585), Parent_PIDs = (1, 2103), theta = 0.024071984442926644, phi = 3.1734272337676135
pid = 211, p = (0.07962233860705142, 0.12940096881615967, 24.75354343793314, 24.75440318097123), Parent_PIDs = (1, 2103), theta = 0.006137843116634333, phi = 1.019191943213204
pid = -211, p = (-0.4234373651600552, -0.11953483336341675, 8.159115341307002, 8.172161936492214), Parent_PIDs = (1, 2103), theta = 0.053873532287972335, phi = 3.4167295127311026
pid = 2212, p = (0.06635947652785196, -0.26646249179856407, 8.370352845791215, 8.427251224189632), Parent_PIDs = (1, 2103), theta = 0.03279464940157783, phi = 4.956462700161053
pid = 22, p = (-0.19628931603684455, -0.08607739176207022, 0.269237893892765, 0.34413348641274916), Parent_PIDs = (221, 90), theta = 0.6723427425866125, phi = 3.5548614731022345
pid = 22, p = (0.2067978976773154, -0.1375322630944767, -0.10562943103910383, 0.26988529151715074), Parent_PIDs = (221, 90), theta = 1.972934016876556, phi = 5.696298339889845
pid = 22, p = (-0.825978175360035, 0.1662747554093786, 47.51146443311825, 47.51893454003275), Parent_PIDs = (111, 90), theta = 0.01773171527106327, phi = 2.9429411833975463
pid = 22, p = (-0.6865181610024899, 0.04752042584499327, 34.38131072492928, 34.38819699461425), Parent_PIDs = (111, 90), theta = 0.020012878367810884, phi = 3.0724834143224276
pid = 22, p = (-0.4149204516160008, 0.020116009245826773, 13.726492773716885, 13.732777122705357), Parent_PIDs = (221, 90), theta = 0.030253980484906236, phi = 3.0931489803697225
pid = 13, p = (-0.22731384877705058, -0.04986514981197798, 3.103041260769446, 3.113548975148691), Parent_PIDs = (221, 90), theta = 0.07485692364659101, phi = 3.357539070802822
pid = -13, p = (-0.08735945820213425, -0.028192445244280273, 5.7597248465708795, 5.761425243176554), Parent_PIDs = (221, 90), theta = 0.015936201882994768, phi = 3.453758926372987
pid = 22, p = (-0.7911083398145579, -0.12344111810412303, 35.494514298012014, 35.503543983196124), Parent_PIDs = (111, 90), theta = 0.022554055979475844, phi = 3.2963801644879274
